GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BULL - Bean Utils Light Library,com.hotels.beans.application,BeanUtilsApplication,5,3,0,0,2,1,1,1,1,1
BULL - Bean Utils Light Library,com.hotels.beans.transformer,TransformerSettings,0,26,0,0,0,5,0,5,0,5
BULL - Bean Utils Light Library,com.hotels.beans.transformer,TransformerImpl,17,670,7,33,1,131,6,52,0,38
BULL - Bean Utils Light Library,com.hotels.beans.constant,MethodPrefix,0,38,0,0,0,5,0,2,0,2
BULL - Bean Utils Light Library,com.hotels.beans.constant,Punctuation,0,37,0,0,0,4,0,3,0,3
BULL - Bean Utils Light Library,com.hotels.beans.constant,ClassType,0,41,0,2,0,5,0,3,0,2
BULL - Bean Utils Light Library,com.hotels.beans.constant,Filters,0,40,1,7,0,8,1,7,0,4
BULL - Bean Utils Light Library,com.hotels.beans.utils,ReflectionUtils,54,923,9,53,12,146,9,55,0,33
BULL - Bean Utils Light Library,com.hotels.beans.utils,ClassUtils,19,1435,12,106,2,205,12,112,0,65
BULL - Bean Utils Light Library,com.hotels.beans.error,MissingMethodException,5,4,0,0,2,2,1,1,1,1
BULL - Bean Utils Light Library,com.hotels.beans.error,InvalidBeanException,4,9,0,0,2,4,1,2,1,2
BULL - Bean Utils Light Library,com.hotels.beans.error,MissingFieldException,0,4,0,0,0,2,0,1,0,1
BULL - Bean Utils Light Library,com.hotels.beans.model,MapType,0,15,0,0,0,3,0,3,0,3
BULL - Bean Utils Light Library,com.hotels.beans.model,FieldMapping,17,15,0,0,1,3,1,3,1,3
BULL - Bean Utils Light Library,com.hotels.beans.model,ItemType.ItemTypeBuilder,17,21,0,0,0,1,1,4,1,4
BULL - Bean Utils Light Library,com.hotels.beans.model,ItemType,0,19,0,0,0,3,0,4,0,4
BULL - Bean Utils Light Library,com.hotels.beans.model,FieldTransformer,17,15,0,0,1,3,1,3,1,3
BULL - Bean Utils Light Library,com.hotels.beans,BeanUtils,0,11,0,0,0,3,0,3,0,3
BULL - Bean Utils Light Library,com.hotels.beans.cache,CacheManagerFactory,0,30,0,2,0,7,0,3,0,2
BULL - Bean Utils Light Library,com.hotels.beans.cache,CacheManager,3,62,0,4,1,13,1,7,1,5
BULL - Bean Utils Light Library,com.hotels.beans.base,Defaults,0,53,0,16,0,15,0,9,0,1
BULL - Bean Utils Light Library,com.hotels.beans.populator,ArrayPopulator,2,51,1,5,0,10,1,6,0,4
BULL - Bean Utils Light Library,com.hotels.beans.populator,MapPopulator,1,132,4,14,0,21,4,11,0,6
BULL - Bean Utils Light Library,com.hotels.beans.populator,OptionalPopulator,0,28,1,3,0,9,1,3,0,2
BULL - Bean Utils Light Library,com.hotels.beans.populator,CollectionPopulator,0,56,0,4,0,11,0,6,0,4
BULL - Bean Utils Light Library,com.hotels.beans.populator,PopulatorFactory,0,48,1,9,0,10,1,5,0,1
BULL - Bean Utils Light Library,com.hotels.beans.populator,Populator,0,80,0,2,0,16,0,9,0,8
